timestamp,datetime,timestamp_desc,message,report,attribution,source,md5,ip,domain
1575210388000,2019-12-01T15:26:28+00:00,VT_Domain_to_ip,Domain brand-tech.net was resolving to 192.64.119.5,https://www.amnesty.org/en/latest/research/2021/07/forensic-methodology-report-how-to-catch-nso-groups-pegasus/,NSO,https://www.virustotal.com/gui/domain/brand-tech.net/details,,192.64.119.5,brand-tech.net
1574939522000,2019-11-28T12:12:02+00:00,VT_Domain_to_ip,Domain breakfastisgood.com was resolving to 103.27.34.30,https://www.amnesty.org/en/latest/research/2021/07/forensic-methodology-report-how-to-catch-nso-groups-pegasus/,NSO,https://www.virustotal.com/gui/domain/breakfastisgood.com/details,,103.27.34.30,breakfastisgood.com
1591989124000,2020-06-12T21:12:04+00:00,VT_Domain_to_ip,Domain breakfastisgood.com was resolving to 104.131.161.182,https://www.amnesty.org/en/latest/research/2021/07/forensic-methodology-report-how-to-catch-nso-groups-pegasus/,NSO,https://www.virustotal.com/gui/domain/breakfastisgood.com/details,,104.131.161.182,breakfastisgood.com
1598438822000,2020-08-26T12:47:02+00:00,VT_Domain_to_ip,Domain breakfastisgood.com was resolving to 204.11.56.48,https://www.amnesty.org/en/latest/research/2021/07/forensic-methodology-report-how-to-catch-nso-groups-pegasus/,NSO,https://www.virustotal.com/gui/domain/breakfastisgood.com/details,,204.11.56.48,breakfastisgood.com
1538554090000,2018-10-03T10:08:10+00:00,VT_Domain_to_ip,Domain breakfastisgood.com was resolving to 5.102.147.114,https://www.amnesty.org/en/latest/research/2021/07/forensic-methodology-report-how-to-catch-nso-groups-pegasus/,NSO,https://www.virustotal.com/gui/domain/breakfastisgood.com/details,,5.102.147.114,breakfastisgood.com
1542370457000,2018-11-16T13:14:17+00:00,VT_Domain_to_ip,Domain breakfastisgood.com was resolving to 91.195.240.94,https://www.amnesty.org/en/latest/research/2021/07/forensic-methodology-report-how-to-catch-nso-groups-pegasus/,NSO,https://www.virustotal.com/gui/domain/breakfastisgood.com/details,,91.195.240.94,breakfastisgood.com
1536579352000,2018-09-10T13:35:52+00:00,VT_Domain_to_ip,Domain breaking-extranews.online was resolving to 18.218.206.151,https://www.amnesty.org/en/latest/research/2021/07/forensic-methodology-report-how-to-catch-nso-groups-pegasus/,NSO,https://www.virustotal.com/gui/domain/breaking-extranews.online/details,,18.218.206.151,breaking-extranews.online
1533078090000,2018-08-01T01:01:30+00:00,VT_Domain_to_ip,Domain breaking-extranews.online was resolving to 185.141.27.124,https://www.amnesty.org/en/latest/research/2021/07/forensic-methodology-report-how-to-catch-nso-groups-pegasus/,NSO,https://www.virustotal.com/gui/domain/breaking-extranews.online/details,,185.141.27.124,breaking-extranews.online
1484262000000,2017-01-13T00:00:00+00:00,VT_Domain_to_ip,Domain breaking-extranews.online was resolving to 91.134.120.249,https://www.amnesty.org/en/latest/research/2021/07/forensic-methodology-report-how-to-catch-nso-groups-pegasus/,NSO,https://www.virustotal.com/gui/domain/breaking-extranews.online/details,,91.134.120.249,breaking-extranews.online
1575184004000,2019-12-01T08:06:44+00:00,VT_Domain_to_ip,Domain breakingnewsasia.com was resolving to 195.149.84.100,https://www.amnesty.org/en/latest/research/2021/07/forensic-methodology-report-how-to-catch-nso-groups-pegasus/,NSO,https://www.virustotal.com/gui/domain/breakingnewsasia.com/details,,195.149.84.100,breakingnewsasia.com
